Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Bwd IAT Total,SYN Flag Count,ACK Flag Count,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Label
5322475,6,4,611,168,517,101.8333333,156,42.0,146.3604808,1.878825171,591386.1111,1733220.034,5322475,87019,0,0,77.9,101.8333333,42.0,0
429234,3,4,711,421,711,237.0,421,105.25,2637.256135,16.30812098,71539.0,109979.4297,214249,215827,0,0,161.7142857,237.0,105.25,0
5084468,2,2,0,212,0,0.0,212,106.0,41.69561103,0.786709642,1694822.667,2899088.6,42154,5042390,0,0,53.0,0.0,106.0,0
878748,3,6,26,11607,20,8.666666667,4380,1934.5,13238.15246,10.24184408,109843.5,310342.1322,715,878685,0,0,1292.555556,8.666666667,1934.5,1
522155,3,5,26,11601,20,8.666666667,7300,2320.2,22267.33441,15.32112112,74593.57143,188086.9076,20937,522018,0,0,1453.375,8.666666667,2320.2,1
4195468,5,2,123,46,46,24.6,46,23.0,40.28156096,1.668467022,699244.6667,1614556.302,4195468,4070873,1,1,30.71428571,24.6,23.0,0
731818,3,4,26,11601,20,8.666666667,8760,2900.25,15887.83003,9.565219768,121969.6667,292516.8794,12588,731598,0,0,1661.0,8.666666667,2900.25,1
1244025,5,0,30,0,6,6.0,0,0.0,24.115271,4.019211833,311006.25,621340.6795,1244025,0,0,1,7.2,6.0,0.0,1
676165,3,5,26,11607,20,8.666666667,10135,2321.4,17204.38059,11.83143168,96595.0,255008.2015,970,676060,0,0,1454.125,8.666666667,2321.4,1
71129358,8,5,56,11607,20,7.0,7215,2321.4,163.9688636,0.182765603,5927446.5,20000000.0,70400000,747349,0,1,897.6153846,7.0,2321.4,1
115889891,16,14,515,1780,431,32.1875,1774,127.1428571,19.80328034,0.25886641,3996203.138,4879641.727,116000000,111000000,0,0,76.5,32.1875,127.1428571,0
10107553,7,10,9581,953,4380,1368.714286,905,95.3,1042.190924,1.681910547,631722.0625,2482582.673,166412,10100000,0,0,619.6470588,1368.714286,95.3,0
82,1,1,0,0,0,0.0,0,0.0,0.0,24390.2439,82.0,0.0,0,0,0,1,0.0,0.0,0.0,0
188259,3,6,26,11601,20,8.666666667,4380,1933.5,61760.65952,47.80647937,23532.375,60109.58748,16025,188192,0,0,1291.888889,8.666666667,1933.5,1
11997688,4,0,24,0,6,6.0,0,0.0,2.000385408,0.333397568,3999229.333,6924266.153,12000000,0,0,1,7.5,6.0,0.0,1
136681,3,6,26,11601,20,8.666666667,4380,1933.5,85066.68813,65.84675266,17085.125,42365.9632,15151,136670,0,0,1291.888889,8.666666667,1933.5,1
146,2,2,72,104,36,36.0,52,52.0,1205479.452,27397.26027,48.66666667,79.09698688,3,3,0,0,53.0,36.0,52.0,0
6896347,1,5,1375,24,1375,1375.0,6,4.8,202.8610219,0.870025827,1379269.4,3067394.775,0,6876834,1,1,462.3333333,1375.0,4.8,0
856282,3,5,26,11601,20,8.666666667,5840,2320.2,13578.47064,9.342716535,122326.0,313282.4728,23001,856023,0,0,1453.375,8.666666667,2320.2,1
1040264,3,6,26,11601,20,8.666666667,5840,1933.5,11176.97046,8.651649966,130033.0,357955.6011,24021,1040164,0,0,1291.888889,8.666666667,1933.5,1
175,2,2,98,130,49,49.0,65,65.0,1302857.143,22857.14286,58.33333333,61.15826464,3,48,0,0,69.25,49.0,65.0,0
6044823,4,0,24,0,6,6.0,0,0.0,3.970339578,0.661723263,2014941.0,3489405.147,6044823,0,0,1,7.5,6.0,0.0,1
397851,3,5,26,11607,20,8.666666667,8675,2321.4,29239.5897,20.10803039,56835.85714,150067.5669,460,397791,0,0,1454.125,8.666666667,2321.4,1
37819,3,5,26,11601,20,8.666666667,5840,2320.2,307438.0602,211.5338851,5402.714286,11061.33988,7016,37785,0,0,1453.375,8.666666667,2320.2,1
86139604,8,4,56,11601,20,7.0,8760,2900.25,135.3268353,0.139308744,7830873.091,23200000.0,85400000,761923,0,1,971.9166667,7.0,2900.25,1
5760017,1,6,6,36,6,6.0,6,6.0,7.291645146,1.215274191,960002.8333,2332413.134,0,5758210,0,1,6.857142857,6.0,6.0,0
55909325,2,2,97,189,56,48.5,105,94.5,5.115425736,0.071544416,18600000.0,32200000.0,55900000,55900000,0,0,85.5,48.5,94.5,0
33533,5,2,11601,26,8760,2320.2,20,13.0,346733.0689,208.74959,5588.833333,12447.94552,33533,1,0,0,1661.0,2320.2,13.0,0
34977,3,5,26,11601,20,8.666666667,4380,2320.2,332418.4464,228.7217314,4996.714286,8233.8982,15395,34862,0,0,1453.375,8.666666667,2320.2,1
1176890,3,6,26,11607,20,8.666666667,5840,1934.5,9884.526166,7.647273747,147111.25,415686.9872,693,1176834,0,0,1292.555556,8.666666667,1934.5,1
220,2,2,64,204,32,32.0,102,102.0,1218181.818,18181.81818,73.33333333,43.87862046,48,48,0,0,75.0,32.0,102.0,0
4146466,4,0,24,0,6,6.0,0,0.0,5.788061448,0.964676908,1382155.333,2393392.553,4146466,0,0,1,7.5,6.0,0.0,1
1212344,3,5,26,11607,20,8.666666667,8760,2321.4,9595.461354,6.598787143,173192.0,457532.0674,1210,1212150,0,0,1454.125,8.666666667,2321.4,1
483052,3,6,26,11607,20,8.666666667,4380,1934.5,24082.29342,18.63153449,60381.5,170398.0826,729,482978,0,0,1292.555556,8.666666667,1934.5,1
64551230,29,36,2112,7308,394,72.82758621,1430,203.0,145.9306043,1.006952153,1008612.969,7254031.851,64600000,64500000,0,0,144.9230769,72.82758621,203.0,0
97099,3,6,26,11601,20,8.666666667,4380,1933.5,119743.7667,92.68890514,12137.375,25590.60457,24983,97039,0,0,1291.888889,8.666666667,1933.5,1
